,year,ethnicity,age,population
86,1957,Total Malays,80 Years & Over,519
87,1957,Total Malays,85 Years & Over,249
88,1957,Total Male Malays,0  -  4 Years,21743
89,1957,Total Male Malays,5  -  9 Years,14451
90,1957,Total Male Malays,10 - 14 Years,8393
91,1957,Total Male Malays,15 - 19 Years,8528
92,1957,Total Male Malays,20 - 24 Years,10556
93,1957,Total Male Malays,25 - 29 Years,9552
94,1957,Total Male Malays,30 - 34 Years,8226
95,1957,Total Male Malays,35 - 39 Years,6917
96,1957,Total Male Malays,40 - 44 Years,4531
97,1957,Total Male Malays,45 - 49 Years,3449
98,1957,Total Male Malays,50 - 54 Years,2620
99,1957,Total Male Malays,55 - 59 Years,1866
100,1957,Total Male Malays,60 - 64 Years,1088
101,1957,Total Male Malays,65 - 69 Years,586
102,1957,Total Male Malays,70 - 74 Years,386
103,1957,Total Male Malays,75 - 79 Years,152
104,1957,Total Male Malays,80 - 84 Years,107
105,1957,Total Male Malays,65 Years & Over,1329
106,1957,Total Male Malays,70 Years & Over,743
107,1957,Total Male Malays,75 Years & Over,357
108,1957,Total Male Malays,80 Years & Over,205
109,1957,Total Male Malays,85 Years & Over,98
110,1957,Total Female Malays,0  -  4 Years,21418
111,1957,Total Female Malays,5  -  9 Years,14684
112,1957,Total Female Malays,10 - 14 Years,8221
113,1957,Total Female Malays,15 - 19 Years,9047
114,1957,Total Female Malays,20 - 24 Years,9917
115,1957,Total Female Malays,25 - 29 Years,8145
116,1957,Total Female Malays,30 - 34 Years,5989
117,1957,Total Female Malays,35 - 39 Years,4735
118,1957,Total Female Malays,40 - 44 Years,3297
119,1957,Total Female Malays,45 - 49 Years,2779
120,1957,Total Female Malays,50 - 54 Years,1871
121,1957,Total Female Malays,55 - 59 Years,1302
122,1957,Total Female Malays,60 - 64 Years,931
123,1957,Total Female Malays,65 - 69 Years,558
124,1957,Total Female Malays,70 - 74 Years,406
125,1957,Total Female Malays,75 - 79 Years,196
126,1957,Total Female Malays,80 - 84 Years,163
127,1957,Total Female Malays,65 Years & Over,1474
128,1957,Total Female Malays,70 Years & Over,916
129,1957,Total Female Malays,75 Years & Over,510
130,1957,Total Female Malays,80 Years & Over,314
131,1957,Total Female Malays,85 Years & Over,151
132,1957,Total Chinese,0  -  4 Years,197758
133,1957,Total Chinese,5  -  9 Years,170174
134,1957,Total Chinese,10 - 14 Years,109703
135,1957,Total Chinese,15 - 19 Years,107156
136,1957,Total Chinese,20 - 24 Years,85913
137,1957,Total Chinese,25 - 29 Years,76611
138,1957,Total Chinese,30 - 34 Years,59344
139,1957,Total Chinese,35 - 39 Years,55917
140,1957,Total Chinese,40 - 44 Years,57277
141,1957,Total Chinese,45 - 49 Years,51888
142,1957,Total Chinese,50 - 54 Years,41617
143,1957,Total Chinese,55 - 59 Years,30509
144,1957,Total Chinese,60 - 64 Years,20461
145,1957,Total Chinese,65 - 69 Years,13264
146,1957,Total Chinese,70 - 74 Years,7414
147,1957,Total Chinese,75 - 79 Years,3640
148,1957,Total Chinese,80 - 84 Years,1398
149,1957,Total Chinese,65 Years & Over,26268
150,1957,Total Chinese,70 Years & Over,13004
151,1957,Total Chinese,75 Years & Over,5590
152,1957,Total Chinese,80 Years & Over,1950
153,1957,Total Chinese,85 Years & Over,552
154,1957,Total Male Chinese,0  -  4 Years,102848
155,1957,Total Male Chinese,5  -  9 Years,88108
156,1957,Total Male Chinese,10 - 14 Years,57342
157,1957,Total Male Chinese,15 - 19 Years,55187
158,1957,Total Male Chinese,20 - 24 Years,42965
159,1957,Total Male Chinese,25 - 29 Years,37851
160,1957,Total Male Chinese,30 - 34 Years,29491
161,1957,Total Male Chinese,35 - 39 Years,27647
162,1957,Total Male Chinese,40 - 44 Years,29498
163,1957,Total Male Chinese,45 - 49 Years,27357
164,1957,Total Male Chinese,50 - 54 Years,22085
165,1957,Total Male Chinese,55 - 59 Years,15776
166,1957,Total Male Chinese,60 - 64 Years,9679
167,1957,Total Male Chinese,65 - 69 Years,5544
168,1957,Total Male Chinese,70 - 74 Years,2714
169,1957,Total Male Chinese,75 - 79 Years,1120
170,1957,Total Male Chinese,80 - 84 Years,345
171,1957,Total Male Chinese,65 Years & Over,9829
172,1957,Total Male Chinese,70 Years & Over,4285
173,1957,Total Male Chinese,75 Years & Over,1571
174,1957,Total Male Chinese,80 Years & Over,451
175,1957,Total Male Chinese,85 Years & Over,106
176,1957,Total Female Chinese,0  -  4 Years,94910
177,1957,Total Female Chinese,5  -  9 Years,82066
178,1957,Total Female Chinese,10 - 14 Years,52361
179,1957,Total Female Chinese,15 - 19 Years,51969
180,1957,Total Female Chinese,20 - 24 Years,42948
181,1957,Total Female Chinese,25 - 29 Years,38760
182,1957,Total Female Chinese,30 - 34 Years,29853
183,1957,Total Female Chinese,35 - 39 Years,28270
184,1957,Total Female Chinese,40 - 44 Years,27779
185,1957,Total Female Chinese,45 - 49 Years,24531
186,1957,Total Female Chinese,50 - 54 Years,19532
187,1957,Total Female Chinese,55 - 59 Years,14733
188,1957,Total Female Chinese,60 - 64 Years,10782
189,1957,Total Female Chinese,65 - 69 Years,7720
190,1957,Total Female Chinese,70 - 74 Years,4700
191,1957,Total Female Chinese,75 - 79 Years,2520
192,1957,Total Female Chinese,80 - 84 Years,1053
193,1957,Total Female Chinese,65 Years & Over,16439
194,1957,Total Female Chinese,70 Years & Over,8719
195,1957,Total Female Chinese,75 Years & Over,4019
196,1957,Total Female Chinese,80 Years & Over,1499
197,1957,Total Female Chinese,85 Years & Over,446
198,1957,Total Indians,0  -  4 Years,18843
199,1957,Total Indians,5  -  9 Years,14413
200,1957,Total Indians,10 - 14 Years,7743
201,1957,Total Indians,15 - 19 Years,8632
202,1957,Total Indians,20 - 24 Years,10123
203,1957,Total Indians,25 - 29 Years,14151
204,1957,Total Indians,30 - 34 Years,12936
205,1957,Total Indians,35 - 39 Years,12256
206,1957,Total Indians,40 - 44 Years,8941
207,1957,Total Indians,45 - 49 Years,6817
208,1957,Total Indians,50 - 54 Years,4242
209,1957,Total Indians,55 - 59 Years,2761
210,1957,Total Indians,60 - 64 Years,1188
211,1957,Total Indians,65 - 69 Years,551
212,1957,Total Indians,70 - 74 Years,280
213,1957,Total Indians,75 - 79 Years,111
214,1957,Total Indians,80 - 84 Years,57
215,1957,Total Indians,65 Years & Over,1038
216,1957,Total Indians,70 Years & Over,487
217,1957,Total Indians,75 Years & Over,207
218,1957,Total Indians,80 Years & Over,96
219,1957,Total Indians,85 Years & Over,39
220,1957,Total Male Indians,0  -  4 Years,9601
221,1957,Total Male Indians,5  -  9 Years,7224
222,1957,Total Male Indians,10 - 14 Years,4396
223,1957,Total Male Indians,15 - 19 Years,5356
224,1957,Total Male Indians,20 - 24 Years,6343
225,1957,Total Male Indians,25 - 29 Years,10633
226,1957,Total Male Indians,30 - 34 Years,10562
227,1957,Total Male Indians,35 - 39 Years,10323
228,1957,Total Male Indians,40 - 44 Years,7770
229,1957,Total Male Indians,45 - 49 Years,5980
230,1957,Total Male Indians,50 - 54 Years,3711
231,1957,Total Male Indians,55 - 59 Years,2367
232,1957,Total Male Indians,60 - 64 Years,957
233,1957,Total Male Indians,65 - 69 Years,416
234,1957,Total Male Indians,70 - 74 Years,202
235,1957,Total Male Indians,75 - 79 Years,91
236,1957,Total Male Indians,80 - 84 Years,36
237,1957,Total Male Indians,65 Years & Over,765
238,1957,Total Male Indians,70 Years & Over,349
239,1957,Total Male Indians,75 Years & Over,147
240,1957,Total Male Indians,80 Years & Over,56
241,1957,Total Male Indians,85 Years & Over,20
242,1957,Total Female Indians,0  -  4 Years,9242
243,1957,Total Female Indians,5  -  9 Years,7189
244,1957,Total Female Indians,10 - 14 Years,3347
245,1957,Total Female Indians,15 - 19 Years,3276
246,1957,Total Female Indians,20 - 24 Years,3780
247,1957,Total Female Indians,25 - 29 Years,3518
248,1957,Total Female Indians,30 - 34 Years,2374
249,1957,Total Female Indians,35 - 39 Years,1933
250,1957,Total Female Indians,40 - 44 Years,1171
251,1957,Total Female Indians,45 - 49 Years,837
252,1957,Total Female Indians,50 - 54 Years,531
253,1957,Total Female Indians,55 - 59 Years,394
254,1957,Total Female Indians,60 - 64 Years,231
255,1957,Total Female Indians,65 - 69 Years,135
256,1957,Total Female Indians,70 - 74 Years,78
257,1957,Total Female Indians,75 - 79 Years,20
258,1957,Total Female Indians,80 - 84 Years,21
259,1957,Total Female Indians,65 Years & Over,273
260,1957,Total Female Indians,70 Years & Over,138
261,1957,Total Female Indians,75 Years & Over,60
262,1957,Total Female Indians,80 Years & Over,40
263,1957,Total Female Indians,85 Years & Over,19
264,1957,Other Ethnic Groups (Total),0  -  4 Years,4965
265,1957,Other Ethnic Groups (Total),5  -  9 Years,4375
266,1957,Other Ethnic Groups (Total),10 - 14 Years,2220
267,1957,Other Ethnic Groups (Total),15 - 19 Years,2316
268,1957,Other Ethnic Groups (Total),20 - 24 Years,2757
269,1957,Other Ethnic Groups (Total),25 - 29 Years,3267
270,1957,Other Ethnic Groups (Total),30 - 34 Years,3430
271,1957,Other Ethnic Groups (Total),35 - 39 Years,2884
272,1957,Other Ethnic Groups (Total),40 - 44 Years,2171
273,1957,Other Ethnic Groups (Total),45 - 49 Years,1783
274,1957,Other Ethnic Groups (Total),50 - 54 Years,1444
275,1957,Other Ethnic Groups (Total),55 - 59 Years,1018
276,1957,Other Ethnic Groups (Total),60 - 64 Years,608
277,1957,Other Ethnic Groups (Total),65 - 69 Years,440
278,1957,Other Ethnic Groups (Total),70 - 74 Years,288
279,1957,Other Ethnic Groups (Total),75 - 79 Years,126
280,1957,Other Ethnic Groups (Total),80 - 84 Years,61
281,1957,Other Ethnic Groups (Total),65 Years & Over,952
282,1957,Other Ethnic Groups (Total),70 Years & Over,512
283,1957,Other Ethnic Groups (Total),75 Years & Over,224
284,1957,Other Ethnic Groups (Total),80 Years & Over,98
285,1957,Other Ethnic Groups (Total),85 Years & Over,37
286,1957,Other Ethnic Groups (Males),0  -  4 Years,2520
287,1957,Other Ethnic Groups (Males),5  -  9 Years,2247
288,1957,Other Ethnic Groups (Males),10 - 14 Years,1088
289,1957,Other Ethnic Groups (Males),15 - 19 Years,1066
290,1957,Other Ethnic Groups (Males),20 - 24 Years,1390
291,1957,Other Ethnic Groups (Males),25 - 29 Years,1740
292,1957,Other Ethnic Groups (Males),30 - 34 Years,1869
293,1957,Other Ethnic Groups (Males),35 - 39 Years,1619
294,1957,Other Ethnic Groups (Males),40 - 44 Years,1242
295,1957,Other Ethnic Groups (Males),45 - 49 Years,987
296,1957,Other Ethnic Groups (Males),50 - 54 Years,837
297,1957,Other Ethnic Groups (Males),55 - 59 Years,541
298,1957,Other Ethnic Groups (Males),60 - 64 Years,291
299,1957,Other Ethnic Groups (Males),65 - 69 Years,216
300,1957,Other Ethnic Groups (Males),70 - 74 Years,123
301,1957,Other Ethnic Groups (Males),75 - 79 Years,52
302,1957,Other Ethnic Groups (Males),80 - 84 Years,20
303,1957,Other Ethnic Groups (Males),65 Years & Over,423
304,1957,Other Ethnic Groups (Males),70 Years & Over,207
305,1957,Other Ethnic Groups (Males),75 Years & Over,84
306,1957,Other Ethnic Groups (Males),80 Years & Over,32
307,1957,Other Ethnic Groups (Males),85 Years & Over,12
308,1957,Other Ethnic Groups (Females),0  -  4 Years,2445
309,1957,Other Ethnic Groups (Females),5  -  9 Years,2128
310,1957,Other Ethnic Groups (Females),10 - 14 Years,1132
311,1957,Other Ethnic Groups (Females),15 - 19 Years,1250
312,1957,Other Ethnic Groups (Females),20 - 24 Years,1367
313,1957,Other Ethnic Groups (Females),25 - 29 Years,1527
314,1957,Other Ethnic Groups (Females),30 - 34 Years,1561
315,1957,Other Ethnic Groups (Females),35 - 39 Years,1265
316,1957,Other Ethnic Groups (Females),40 - 44 Years,929
317,1957,Other Ethnic Groups (Females),45 - 49 Years,796
318,1957,Other Ethnic Groups (Females),50 - 54 Years,607
319,1957,Other Ethnic Groups (Females),55 - 59 Years,477
320,1957,Other Ethnic Groups (Females),60 - 64 Years,317
321,1957,Other Ethnic Groups (Females),65 - 69 Years,224
322,1957,Other Ethnic Groups (Females),70 - 74 Years,165
323,1957,Other Ethnic Groups (Females),75 - 79 Years,74
324,1957,Other Ethnic Groups (Females),80 - 84 Years,41
325,1957,Other Ethnic Groups (Females),65 Years & Over,529
326,1957,Other Ethnic Groups (Females),70 Years & Over,305
327,1957,Other Ethnic Groups (Females),75 Years & Over,140
328,1957,Other Ethnic Groups (Females),80 Years & Over,66
329,1957,Other Ethnic Groups (Females),85 Years & Over,25
330,1958,Total Residents,0  -  4 Years,277800
331,1958,Total Residents,5  -  9 Years,229600
332,1958,Total Residents,10 - 14 Years,157100
333,1958,Total Residents,15 - 19 Years,134300
334,1958,Total Residents,20 - 24 Years,124900
335,1958,Total Residents,25 - 29 Years,114700
336,1958,Total Residents,30 - 34 Years,95100
337,1958,Total Residents,35 - 39 Years,84300
338,1958,Total Residents,40 - 44 Years,77500
339,1958,Total Residents,45 - 49 Years,69300
340,1958,Total Residents,50 - 54 Years,54200
341,1958,Total Residents,55 - 59 Years,40400
342,1958,Total Residents,60 - 64 Years,25900
343,1958,Total Residents,65 - 69 Years,17100
344,1958,Total Residents,70 - 74 Years,na
345,1958,Total Residents,75 - 79 Years,na
346,1958,Total Residents,80 - 84 Years,na
347,1958,Total Residents,65 Years & Over,33700
348,1958,Total Residents,70 Years & Over,16600
349,1958,Total Residents,75 Years & Over,na
350,1958,Total Residents,80 Years & Over,na
351,1958,Total Residents,85 Years & Over,na
352,1958,Total Male Residents,0  -  4 Years,142900
353,1958,Total Male Residents,5  -  9 Years,118100
354,1958,Total Male Residents,10 - 14 Years,81500
355,1958,Total Male Residents,15 - 19 Years,69600
356,1958,Total Male Residents,20 - 24 Years,63600
357,1958,Total Male Residents,25 - 29 Years,61000
358,1958,Total Male Residents,30 - 34 Years,52400
359,1958,Total Male Residents,35 - 39 Years,47200
360,1958,Total Male Residents,40 - 44 Years,43400
361,1958,Total Male Residents,45 - 49 Years,39300
362,1958,Total Male Residents,50 - 54 Years,30000
363,1958,Total Male Residents,55 - 59 Years,22400
364,1958,Total Male Residents,60 - 64 Years,13000
365,1958,Total Male Residents,65 - 69 Years,7700
366,1958,Total Male Residents,70 - 74 Years,na
367,1958,Total Male Residents,75 - 79 Years,na
368,1958,Total Male Residents,80 - 84 Years,na
369,1958,Total Male Residents,65 Years & Over,13200
370,1958,Total Male Residents,70 Years & Over,5500
371,1958,Total Male Residents,75 Years & Over,na
372,1958,Total Male Residents,80 Years & Over,na
373,1958,Total Male Residents,85 Years & Over,na
374,1958,Total Female Residents,0  -  4 Years,134900
375,1958,Total Female Residents,5  -  9 Years,111500
376,1958,Total Female Residents,10 - 14 Years,75600
377,1958,Total Female Residents,15 - 19 Years,64700
378,1958,Total Female Residents,20 - 24 Years,61300
379,1958,Total Female Residents,25 - 29 Years,53700
380,1958,Total Female Residents,30 - 34 Years,42700
381,1958,Total Female Residents,35 - 39 Years,37100
382,1958,Total Female Residents,40 - 44 Years,34100
383,1958,Total Female Residents,45 - 49 Years,30000
384,1958,Total Female Residents,50 - 54 Years,24200
385,1958,Total Female Residents,55 - 59 Years,18000
386,1958,Total Female Residents,60 - 64 Years,12900
387,1958,Total Female Residents,65 - 69 Years,9400
388,1958,Total Female Residents,70 - 74 Years,na
389,1958,Total Female Residents,75 - 79 Years,na
390,1958,Total Female Residents,80 - 84 Years,na
391,1958,Total Female Residents,65 Years & Over,20500
392,1958,Total Female Residents,70 Years & Over,11100
393,1958,Total Female Residents,75 Years & Over,na
394,1958,Total Female Residents,80 Years & Over,na
395,1958,Total Female Residents,85 Years & Over,na
396,1958,Total Malays,0  -  4 Years,45100
397,1958,Total Malays,5  -  9 Years,32100
398,1958,Total Malays,10 - 14 Years,19600
399,1958,Total Malays,15 - 19 Years,16400
400,1958,Total Malays,20 - 24 Years,21400
401,1958,Total Malays,25 - 29 Years,18400
402,1958,Total Malays,30 - 34 Years,15200
403,1958,Total Malays,35 - 39 Years,12300
404,1958,Total Malays,40 - 44 Years,8500
405,1958,Total Malays,45 - 49 Years,6500
406,1958,Total Malays,50 - 54 Years,4800
407,1958,Total Malays,55 - 59 Years,3400
408,1958,Total Malays,60 - 64 Years,2300
409,1958,Total Malays,65 - 69 Years,1200
410,1958,Total Malays,70 - 74 Years,na
411,1958,Total Malays,75 - 79 Years,na
412,1958,Total Malays,80 - 84 Years,na
413,1958,Total Malays,65 Years & Over,3000
414,1958,Total Malays,70 Years & Over,1800
415,1958,Total Malays,75 Years & Over,na
416,1958,Total Malays,80 Years & Over,na
417,1958,Total Malays,85 Years & Over,na
418,1958,Total Male Malays,0  -  4 Years,22700
419,1958,Total Male Malays,5  -  9 Years,15900
420,1958,Total Male Malays,10 - 14 Years,9900
421,1958,Total Male Malays,15 - 19 Years,7800
422,1958,Total Male Malays,20 - 24 Years,10900
423,1958,Total Male Malays,25 - 29 Years,9900
424,1958,Total Male Malays,30 - 34 Years,8700
425,1958,Total Male Malays,35 - 39 Years,7300
426,1958,Total Male Malays,40 - 44 Years,4900
427,1958,Total Male Malays,45 - 49 Years,3600
428,1958,Total Male Malays,50 - 54 Years,2700
429,1958,Total Male Malays,55 - 59 Years,2100
430,1958,Total Male Malays,60 - 64 Years,1200
431,1958,Total Male Malays,65 - 69 Years,700
432,1958,Total Male Malays,70 - 74 Years,na
433,1958,Total Male Malays,75 - 79 Years,na
434,1958,Total Male Malays,80 - 84 Years,na
435,1958,Total Male Malays,65 Years & Over,1500
436,1958,Total Male Malays,70 Years & Over,800
437,1958,Total Male Malays,75 Years & Over,na
438,1958,Total Male Malays,80 Years & Over,na
439,1958,Total Male Malays,85 Years & Over,na
440,1958,Total Female Malays,0  -  4 Years,22400
441,1958,Total Female Malays,5  -  9 Years,16200
442,1958,Total Female Malays,10 - 14 Years,9700
443,1958,Total Female Malays,15 - 19 Years,8600
444,1958,Total Female Malays,20 - 24 Years,10500
445,1958,Total Female Malays,25 - 29 Years,8500
446,1958,Total Female Malays,30 - 34 Years,6500
447,1958,Total Female Malays,35 - 39 Years,5000
448,1958,Total Female Malays,40 - 44 Years,3600
449,1958,Total Female Malays,45 - 49 Years,2900
450,1958,Total Female Malays,50 - 54 Years,2100
451,1958,Total Female Malays,55 - 59 Years,1300
452,1958,Total Female Malays,60 - 64 Years,1100
453,1958,Total Female Malays,65 - 69 Years,500
454,1958,Total Female Malays,70 - 74 Years,na
455,1958,Total Female Malays,75 - 79 Years,na
456,1958,Total Female Malays,80 - 84 Years,na
457,1958,Total Female Malays,65 Years & Over,1500
458,1958,Total Female Malays,70 Years & Over,1000
459,1958,Total Female Malays,75 Years & Over,na
460,1958,Total Female Malays,80 Years & Over,na
461,1958,Total Female Malays,85 Years & Over,na
462,1958,Total Chinese,0  -  4 Years,207500
463,1958,Total Chinese,5  -  9 Years,178200
464,1958,Total Chinese,10 - 14 Years,125900
465,1958,Total Chinese,15 - 19 Years,107600
466,1958,Total Chinese,20 - 24 Years,91900
467,1958,Total Chinese,25 - 29 Years,79300
468,1958,Total Chinese,30 - 34 Years,63800
469,1958,Total Chinese,35 - 39 Years,56900
470,1958,Total Chinese,40 - 44 Years,57400
471,1958,Total Chinese,45 - 49 Years,54100
472,1958,Total Chinese,50 - 54 Years,43700
473,1958,Total Chinese,55 - 59 Years,32800
474,1958,Total Chinese,60 - 64 Years,21800
475,1958,Total Chinese,65 - 69 Years,14900
476,1958,Total Chinese,70 - 74 Years,na
477,1958,Total Chinese,75 - 79 Years,na
478,1958,Total Chinese,80 - 84 Years,na
479,1958,Total Chinese,65 Years & Over,28600
480,1958,Total Chinese,70 Years & Over,13700
481,1958,Total Chinese,75 Years & Over,na
482,1958,Total Chinese,80 Years & Over,na
483,1958,Total Chinese,85 Years & Over,na
484,1958,Total Male Chinese,0  -  4 Years,107600
485,1958,Total Male Chinese,5  -  9 Years,92400
486,1958,Total Male Chinese,10 - 14 Years,65500
487,1958,Total Male Chinese,15 - 19 Years,55600
488,1958,Total Male Chinese,20 - 24 Years,46200
489,1958,Total Male Chinese,25 - 29 Years,39200
490,1958,Total Male Chinese,30 - 34 Years,31600
491,1958,Total Male Chinese,35 - 39 Years,28100
492,1958,Total Male Chinese,40 - 44 Years,29200
493,1958,Total Male Chinese,45 - 49 Years,28700
494,1958,Total Male Chinese,50 - 54 Years,22800
495,1958,Total Male Chinese,55 - 59 Years,17000
496,1958,Total Male Chinese,60 - 64 Years,10500
497,1958,Total Male Chinese,65 - 69 Years,6400
498,1958,Total Male Chinese,70 - 74 Years,na
499,1958,Total Male Chinese,75 - 79 Years,na
500,1958,Total Male Chinese,80 - 84 Years,na
501,1958,Total Male Chinese,65 Years & Over,10500
502,1958,Total Male Chinese,70 Years & Over,4100
503,1958,Total Male Chinese,75 Years & Over,na
504,1958,Total Male Chinese,80 Years & Over,na
505,1958,Total Male Chinese,85 Years & Over,na
506,1958,Total Female Chinese,0  -  4 Years,99900
507,1958,Total Female Chinese,5  -  9 Years,85800
508,1958,Total Female Chinese,10 - 14 Years,60400
509,1958,Total Female Chinese,15 - 19 Years,52000
510,1958,Total Female Chinese,20 - 24 Years,45700
511,1958,Total Female Chinese,25 - 29 Years,40100
512,1958,Total Female Chinese,30 - 34 Years,32200
513,1958,Total Female Chinese,35 - 39 Years,28800
514,1958,Total Female Chinese,40 - 44 Years,28200
515,1958,Total Female Chinese,45 - 49 Years,25400
516,1958,Total Female Chinese,50 - 54 Years,20900
517,1958,Total Female Chinese,55 - 59 Years,15800
518,1958,Total Female Chinese,60 - 64 Years,11300
519,1958,Total Female Chinese,65 - 69 Years,8500
520,1958,Total Female Chinese,70 - 74 Years,na
521,1958,Total Female Chinese,75 - 79 Years,na
522,1958,Total Female Chinese,80 - 84 Years,na
523,1958,Total Female Chinese,65 Years & Over,18100
524,1958,Total Female Chinese,70 Years & Over,9600
525,1958,Total Female Chinese,75 Years & Over,na
526,1958,Total Female Chinese,80 Years & Over,na
527,1958,Total Female Chinese,85 Years & Over,na
528,1958,Total Indians,0  -  4 Years,21000
529,1958,Total Indians,5  -  9 Years,15600
530,1958,Total Indians,10 - 14 Years,9400
531,1958,Total Indians,15 - 19 Years,8400
532,1958,Total Indians,20 - 24 Years,9600
533,1958,Total Indians,25 - 29 Years,14500
534,1958,Total Indians,30 - 34 Years,13200
535,1958,Total Indians,35 - 39 Years,12700
536,1958,Total Indians,40 - 44 Years,9700
537,1958,Total Indians,45 - 49 Years,7300
538,1958,Total Indians,50 - 54 Years,4400
539,1958,Total Indians,55 - 59 Years,3200
540,1958,Total Indians,60 - 64 Years,1200
541,1958,Total Indians,65 - 69 Years,600
542,1958,Total Indians,70 - 74 Years,na
543,1958,Total Indians,75 - 79 Years,na
544,1958,Total Indians,80 - 84 Years,na
545,1958,Total Indians,65 Years & Over,1100
546,1958,Total Indians,70 Years & Over,500
547,1958,Total Indians,75 Years & Over,na
548,1958,Total Indians,80 Years & Over,na
549,1958,Total Indians,85 Years & Over,na
550,1958,Total Male Indians,0  -  4 Years,10400
551,1958,Total Male Indians,5  -  9 Years,7800
552,1958,Total Male Indians,10 - 14 Years,5000
553,1958,Total Male Indians,15 - 19 Years,5300
554,1958,Total Male Indians,20 - 24 Years,5600
555,1958,Total Male Indians,25 - 29 Years,10600
556,1958,Total Male Indians,30 - 34 Years,10600
557,1958,Total Male Indians,35 - 39 Years,10600
558,1958,Total Male Indians,40 - 44 Years,8300
559,1958,Total Male Indians,45 - 49 Years,6400
560,1958,Total Male Indians,50 - 54 Years,3800
561,1958,Total Male Indians,55 - 59 Years,2800
562,1958,Total Male Indians,60 - 64 Years,1000
